,Policy,sus,sec,eff
21,"Society (0.0, 0.8, 0.2)","(0.6089598571034578, 0.2115733057682092)","(0.35089361311972755, 0.11178815416571165)","(0.9239618379786597, 0.46176629948352044)"
22,"Society (0.0, 0.9, 0.1)","(0.6296694481157159, 0.21744348458911333)","(0.32519231593886566, 0.102179441116058)","(0.9968381131346274, 0.4777515178522899)"
23,"Society (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.4030920244702812, 0.12208170565255722)","(0.586399354865295, 0.21813232466546845)","(0.212612851668765, 0.10408009543433726)"
25,"Learning(0.0, 0.1, 0.9)_result_(0.7, 0.21, 0.09)","(0.39167531576745923, 0.11223316468082979)","(0.5255690852444739, 0.21050997509274022)","(0.2585444195543747, 0.16199558466314742)"
26,"Learning(0.0, 0.2, 0.8)_result_(0.66, 0.33, 0.01)","(0.4124862280035526, 0.12558948602077302)","(0.45886004208966225, 0.18615738952424454)","(0.3527192430805084, 0.23652262798390708)"
27,"Learning(0.0, 0.3, 0.7)_result_(0.65, 0.34, 0.01)","(0.4171018271950551, 0.12696195558855486)","(0.44926010939582883, 0.1855550012179199)","(0.3687208593856715, 0.24509546893833478)"
28,"Learning(0.0, 0.4, 0.6)_result_(0.56, 0.43, 0.01)","(0.44697023287191867, 0.14991417843147226)","(0.3991874286460332, 0.16093271399280867)","(0.4845942321009811, 0.3317535337496884)"
29,"Learning(0.0, 0.5, 0.5)_result_(0.54, 0.45, 0.01)","(0.4501891630712443, 0.15260390422587303)","(0.3947006856682205, 0.1562218949133131)","(0.49505140627719046, 0.33556310509396226)"
30,"Learning(0.0, 0.6, 0.4)_result_(0.45, 0.53, 0.01)","(0.48431853944126296, 0.16568014400419392)","(0.35672719308039585, 0.12402631556442256)","(0.6246112786267124, 0.3796986506329478)"
31,"Learning(0.0, 0.7, 0.3)_result_(0.28, 0.71, 0.01)","(0.5386636767063081, 0.1882669979747621)","(0.3214199368397347, 0.10795520419051961)","(0.7816812633628663, 0.44467556122111324)"
32,"Learning(0.0, 0.8, 0.2)_result_(0.29, 0.7, 0.01)","(0.5386636767063081, 0.1882669979747621)","(0.3214199368397347, 0.10795520419051961)","(0.7816812633628663, 0.44467556122111324)"
33,"Learning(0.0, 0.9, 0.1)_result_(0.01, 0.98, 0.0)","(0.632613798006787, 0.22490846890245672)","(0.2974913502860689, 0.09733639055102053)","(1.0345437764339487, 0.49750347674448725)"
34,"Learning(0.0, 1.0, 0.0)_result_(0.0, 0.99, 0.0)","(0.6408175674418759, 0.2243014298200801)","(0.297281077525871, 0.09719945960186338)","(1.0529608254226714, 0.49221192227467564)"
