,Policy,sus,sec,eff
21,"Society (0.8, 0.0, 0.2)","(0.3869345079096475, 0.10926175084971149)","(0.5982263593925669, 0.22380049053056028)","(0.23455914771820016, 0.1291389386780809)"
22,"Society (0.9, 0.0, 0.1)","(0.38582969109687076, 0.10895109301990749)","(0.5990672531394107, 0.2268880965633727)","(0.23681634651339228, 0.13242259819005714)"
23,"Society (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.4030920244702812, 0.12208170565255722)","(0.586399354865295, 0.21813232466546845)","(0.212612851668765, 0.10408009543433726)"
25,"Learning(0.1, 0.0, 0.9)_result_(0.13, 0.02, 0.85)","(0.40003157080852697, 0.11741410395414563)","(0.5837134007572451, 0.21884759462611758)","(0.21299277322395938, 0.10544740739679066)"
26,"Learning(0.2, 0.0, 0.8)_result_(0.3, 0.09, 0.61)","(0.39792739549164635, 0.11619071992798383)","(0.5822126550673076, 0.22105775784803175)","(0.21401375416922078, 0.10594859787891227)"
27,"Learning(0.3, 0.0, 0.7)_result_(0.43, 0.12, 0.45)","(0.394198628331651, 0.11329824826645897)","(0.5857711841218636, 0.22731409969415978)","(0.2157284847516597, 0.10640574112812846)"
28,"Learning(0.4, 0.0, 0.6)_result_(0.54, 0.11, 0.35)","(0.39114149616446076, 0.11028581869067446)","(0.587790639959023, 0.2335197409122797)","(0.2185764194938728, 0.1097069818682755)"
29,"Learning(0.5, 0.0, 0.5)_result_(0.66, 0.08, 0.27)","(0.38768287680470265, 0.10918649444203828)","(0.5853235054664286, 0.23667405778117553)","(0.2260930879638181, 0.1193457740950399)"
30,"Learning(0.6, 0.0, 0.4)_result_(0.72, 0.06, 0.22)","(0.3861305980926294, 0.10859490156867653)","(0.5957679651617486, 0.24139599362869638)","(0.22753167762934218, 0.1195111737865116)"
31,"Learning(0.7, 0.0, 0.3)_result_(0.71, 0.06, 0.23)","(0.38768287680470265, 0.10918649444203828)","(0.5853235054664286, 0.23667405778117553)","(0.2260930879638181, 0.1193457740950399)"
32,"Learning(0.8, 0.0, 0.2)_result_(0.82, 0.04, 0.14)","(0.38456683354927107, 0.10825084345297702)","(0.5983360246400958, 0.23697335532420502)","(0.23231052870879035, 0.12875905074956737)"
33,"Learning(0.9, 0.0, 0.1)_result_(0.86, 0.01, 0.12)","(0.38432834638316354, 0.10847821169211684)","(0.6072494757228062, 0.241411386180811)","(0.2315773460290266, 0.12525458939269898)"
34,"Learning(1.0, 0.0, 0.0)_result_(0.96, 0.01, 0.03)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
