,Policy,sus,sec,eff
21,"Society (0.0, 0.8, 0.2)","(0.6022487843462793, 0.2054102513049335)","(0.3531683702285687, 0.10709355185861)","(0.9097209810878235, 0.4381065023205312)"
22,"Society (0.0, 0.9, 0.1)","(0.6231154642309872, 0.19949991395949482)","(0.32988667409085076, 0.10784220619789135)","(0.9810799876450851, 0.42409262290416777)"
23,"Society (0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.02, 0.01, 0.97)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
25,"Learning(0.0, 0.1, 0.9)_result_(0.02, 0.01, 0.97)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
26,"Learning(0.0, 0.2, 0.8)_result_(0.05, 0.03, 0.92)","(0.40193911745001587, 0.11995616739928708)","(0.5872874669736408, 0.21934613260115338)","(0.21261797567843277, 0.10408711171708353)"
27,"Learning(0.0, 0.3, 0.7)_result_(0.0, 0.04, 0.96)","(0.40893812517491535, 0.13255764535276393)","(0.5796462241565965, 0.2071610028122947)","(0.21285012115971003, 0.10427704237919505)"
28,"Learning(0.0, 0.4, 0.6)_result_(0.0, 0.05, 0.95)","(0.4088895983303174, 0.13256425465535268)","(0.5782904564133021, 0.20676114531241388)","(0.21293562803590535, 0.10433865767441564)"
29,"Learning(0.0, 0.5, 0.5)_result_(0.0, 0.08, 0.91)","(0.407831685806741, 0.1306896679504183)","(0.5734454556374036, 0.20561739521652664)","(0.21339713357271026, 0.10582797234440339)"
30,"Learning(0.0, 0.6, 0.4)_result_(0.0, 0.12, 0.87)","(0.407831685806741, 0.1306896679504183)","(0.5734454556374036, 0.20561739521652664)","(0.21339713357271026, 0.10582797234440339)"
31,"Learning(0.0, 0.7, 0.3)_result_(0.01, 0.15, 0.84)","(0.4087716724323783, 0.13136764134907364)","(0.5719708292145744, 0.20686958348485676)","(0.21362953571990242, 0.10596869021560087)"
32,"Learning(0.0, 0.8, 0.2)_result_(0.0, 0.29, 0.7)","(0.41184005715905714, 0.13427150671157048)","(0.5596240140054617, 0.20809761949442118)","(0.2180431558337755, 0.11161178401904663)"
33,"Learning(0.0, 0.9, 0.1)_result_(0.1, 0.46, 0.44)","(0.40867395855495586, 0.13341825138626928)","(0.5087696410656989, 0.19217137031224488)","(0.25278177480772446, 0.15400667023156525)"
34,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
