,Policy,sus,sec,eff
21,"Society (0.8, 0.2, 0.0)","(0.4398636475727759, 0.13101561553911825)","(0.5358149007962646, 0.19837242068333155)","(0.41645689791096774, 0.22418416976085395)"
22,"Society (0.9, 0.1, 0.0)","(0.41437554571189383, 0.11903913492362601)","(0.5656016569208939, 0.216702372556202)","(0.3375023000143732, 0.17947226365998567)"
23,"Society (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
24,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
25,"Learning(0.1, 0.9, 0.0)_result_(0.1, 0.9, 0.0)","(0.5997810426090023, 0.21683748145157794)","(0.3004431047016911, 0.09788985179205827)","(0.9557645724118246, 0.4881103442363582)"
26,"Learning(0.2, 0.8, 0.0)_result_(0.2, 0.8, 0.0)","(0.5831112277940663, 0.21007815887002207)","(0.3043971094798747, 0.10177708107360922)","(0.9090286090220999, 0.48566347245806685)"
27,"Learning(0.3, 0.7, 0.0)_result_(0.3, 0.7, 0.0)","(0.5386636767063081, 0.1882669979747621)","(0.3214199368397347, 0.10795520419051961)","(0.7816812633628663, 0.44467556122111324)"
28,"Learning(0.4, 0.6, 0.0)_result_(0.4, 0.6, 0.0)","(0.4991246516392015, 0.17135436668897414)","(0.34457935330417394, 0.1238174333651049)","(0.6709180353354895, 0.4027874917780238)"
29,"Learning(0.5, 0.5, 0.0)_result_(0.5, 0.5, 0.0)","(0.47847982773505227, 0.16729674576181855)","(0.3626486893747489, 0.12698756773744582)","(0.6071525837224295, 0.38427278730725173)"
30,"Learning(0.6, 0.4, 0.0)_result_(0.6, 0.4, 0.0)","(0.4346491702499885, 0.13887077893094005)","(0.4172762688883124, 0.18029089635931755)","(0.4437915329161976, 0.302182302695349)"
31,"Learning(0.7, 0.3, 0.0)_result_(0.7, 0.3, 0.0)","(0.4100692619938759, 0.12425990689191968)","(0.46441662994555755, 0.1933782534618577)","(0.34685710284592414, 0.23514373660586932)"
32,"Learning(0.8, 0.2, 0.0)_result_(0.8, 0.2, 0.0)","(0.3914940974906418, 0.11152871524679178)","(0.5221362923665239, 0.21349553845307698)","(0.27633539980620536, 0.1820736310669095)"
33,"Learning(0.9, 0.1, 0.0)_result_(0.9, 0.1, 0.0)","(0.3865572293281347, 0.10993137590133323)","(0.5511905923453205, 0.2208470363317186)","(0.26480989166271973, 0.17475115031535515)"
34,"Learning(1.0, 0.0, 0.0)_result_(1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
