,Policy,sus,sec,eff
21,"Society (0.8, 0.2, 0.0)","(0.43317481095008065, 0.12145313857094968)","(0.5347436961086428, 0.20261518595248193)","(0.40046909023593275, 0.1974874631228352)"
22,"Society (0.9, 0.1, 0.0)","(0.41314949665393214, 0.11705482685306917)","(0.5671097885397964, 0.21678206048369875)","(0.33157637782132954, 0.17588786289688632)"
23,"Society (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
24,"Learning(0.0, 1.0, 0.0)_result_(0.0, 0.99, 0.0)","(0.6362506531869784, 0.22298617932631945)","(0.2973893634983764, 0.09721316876749113)","(1.0426730108206117, 0.48823855602330724)"
25,"Learning(0.1, 0.9, 0.0)_result_(0.01, 0.98, 0.0)","(0.632613798006787, 0.22490846890245672)","(0.2974913502860689, 0.09733639055102053)","(1.0345437764339487, 0.49750347674448725)"
26,"Learning(0.2, 0.8, 0.0)_result_(0.26, 0.73, 0.01)","(0.5645087477498333, 0.19746640761184625)","(0.31046213762046565, 0.1047991423661234)","(0.8583255022225019, 0.4560823378549172)"
27,"Learning(0.3, 0.7, 0.0)_result_(0.33, 0.66, 0.01)","(0.5246243206408843, 0.1833840901881138)","(0.3286670479993566, 0.11449255683009378)","(0.7476075438684538, 0.4359571105237646)"
28,"Learning(0.4, 0.6, 0.0)_result_(0.43, 0.56, 0.01)","(0.49212004634854994, 0.16912448653908135)","(0.34991500741403125, 0.12273847486048654)","(0.6476747536837234, 0.39080328723891855)"
29,"Learning(0.5, 0.5, 0.0)_result_(0.6, 0.39, 0.01)","(0.4307405452564126, 0.134484159387631)","(0.42350757977749853, 0.18607713817556162)","(0.431237545758593, 0.28837883131666564)"
30,"Learning(0.6, 0.4, 0.0)_result_(0.63, 0.37, 0.0)","(0.42598744203860406, 0.13146794490484834)","(0.4321067553405316, 0.18457241716851389)","(0.40883568332777176, 0.27507198147400846)"
31,"Learning(0.7, 0.3, 0.0)_result_(0.68, 0.32, 0.0)","(0.411998458294731, 0.12476650416393348)","(0.4599688356927225, 0.18809742599678858)","(0.350546517878875, 0.23446652369711987)"
32,"Learning(0.8, 0.2, 0.0)_result_(0.81, 0.19, 0.0)","(0.3914940974906418, 0.11152871524679178)","(0.5221362923665239, 0.21349553845307698)","(0.27633539980620536, 0.1820736310669095)"
33,"Learning(0.9, 0.1, 0.0)_result_(0.89, 0.11, 0.0)","(0.3865572293281347, 0.10993137590133323)","(0.5511905923453205, 0.2208470363317186)","(0.26480989166271973, 0.17475115031535515)"
34,"Learning(1.0, 0.0, 0.0)_result_(0.96, 0.01, 0.03)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
