,Policy,sus,sec,eff
21,"Society (0.8, 0.0, 0.2)","(0.3875756382672606, 0.11082760764713083)","(0.5966303207626257, 0.22280802503224625)","(0.23589535358072394, 0.13179997896749893)"
22,"Society (0.9, 0.0, 0.1)","(0.38511237978328655, 0.10942447009316482)","(0.5975904768021505, 0.22853466200358494)","(0.2389651502837966, 0.13715094501949002)"
23,"Society (1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
24,"Learning(0.0, 0.0, 1.0)_result_(0.01, 0.01, 0.98)","(0.40294469083202883, 0.12217468721267494)","(0.5885897678555537, 0.21892939955785365)","(0.21256572456523395, 0.10409788265092682)"
25,"Learning(0.1, 0.0, 0.9)_result_(0.02, 0.01, 0.97)","(0.40179178381176345, 0.12004938031340019)","(0.5894778799638994, 0.22012997558098693)","(0.21257084857490172, 0.10410490005446175)"
26,"Learning(0.2, 0.0, 0.8)_result_(0.1, 0.0, 0.9)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
27,"Learning(0.3, 0.0, 0.7)_result_(0.1, 0.0, 0.9)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
28,"Learning(0.4, 0.0, 0.6)_result_(0.1, 0.0, 0.9)","(0.40136562606800763, 0.12009713856649519)","(0.5911655636436511, 0.21967680310177642)","(0.21258876538233476, 0.10409533190679741)"
29,"Learning(0.5, 0.0, 0.5)_result_(0.15, 0.0, 0.84)","(0.39927827331504023, 0.11777388297781888)","(0.587858319151373, 0.21886806259946573)","(0.2129893744809363, 0.10542586825738424)"
30,"Learning(0.6, 0.0, 0.4)_result_(0.25, 0.01, 0.74)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
31,"Learning(0.7, 0.0, 0.3)_result_(0.36, 0.01, 0.63)","(0.39229870504335085, 0.11119492998700975)","(0.6046380362185071, 0.228161485590612)","(0.21481686105107656, 0.105797381434143)"
32,"Learning(0.8, 0.0, 0.2)_result_(0.45, 0.01, 0.55)","(0.39092306867257176, 0.11051451372487685)","(0.6121016113387381, 0.2309548890606873)","(0.21553179161204944, 0.10562750259119182)"
33,"Learning(0.9, 0.0, 0.1)_result_(0.54, 0.0, 0.45)","(0.38833655930494915, 0.10946228978378038)","(0.6198626721044619, 0.23626225739686296)","(0.21791673339191076, 0.10660641537387555)"
34,"Learning(1.0, 0.0, 0.0)_result_(0.97, 0.01, 0.02)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
